,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
0,"[23, 23, 21, 13]","[1, 0, 0]",16,"[1, 0, 0, 0, 0, 0]",5.49,1.561,0.046,0.1,0.0,False,0.0002,0.03
1,"[23, 23, 21, 31]","[1, 0, 0]",16,"[1, 0, 0, 0, 0, 0]",5.43,1.5893,-0.014,36.93,0.0,True,0.1775,25.88
2,"[23, 23, 21, 49]","[1, 0, 0]",16,"[1, 0, 0, 0, 0, 0]",5.66,1.5583,0.191,34.28,0.0,False,0.1624,21.32
3,"[23, 23, 21, 14]","[1, 0, 0]",17,"[1, 0, 0, 0, 0, 0]",5.34,1.5993,-0.122,19.59,0.0,True,0.6638,101.12
4,"[23, 23, 21, 32]","[1, 0, 0]",17,"[1, 0, 0, 0, 0, 0]",5.39,1.6104,-0.087,10.09,0.0,True,0.7492,110.21
5,"[23, 23, 21, 50]","[1, 0, 0]",17,"[1, 0, 0, 0, 0, 0]",5.66,1.5565,0.032,45.39,0.0,False,1.0025,131.77
6,"[23, 23, 21, 15]","[1, 0, 0]",18,"[1, 0, 0, 0, 0, 0]",5.18,1.6911,-0.322,0.0,0.0,True,0.0001,0.02
7,"[23, 23, 21, 33]","[1, 0, 0]",18,"[1, 0, 0, 0, 0, 0]",5.31,1.6742,-0.162,0.0,0.0,True,0.0002,0.03
8,"[23, 23, 21, 51]","[1, 0, 0]",18,"[0, 1, 0, 0, 0, 0]",6.5342,0.9988,0.042,5.26,0.156,False,4.1965,558.68
9,"[23, 23, 22, 13]","[1, 0, 0]",17,"[0, 1, 0, 0, 0, 0]",6.16,1.0,-0.024,8.6,0.0,True,0.7065,112.12
10,"[23, 23, 22, 31]","[1, 0, 0]",17,"[0, 1, 0, 0, 0, 0]",6.1358,0.9952,-0.039,4.9,0.0,True,0.6168,99.53
11,"[23, 23, 22, 49]","[1, 0, 0]",17,"[0, 1, 0, 0, 0, 0]",6.3622,0.9998,0.205,18.85,0.0,False,0.6805,98.04
12,"[23, 23, 22, 14]","[1, 0, 0]",18,"[1, 0, 0, 0, 0, 0]",5.8997,1.059,-0.253,0.03,0.0,True,0.0001,0.02
13,"[23, 23, 22, 32]","[1, 0, 0]",18,"[1, 0, 0, 0, 0, 0]",5.18,1.6564,-0.219,0.02,0.0,True,0.0002,0.03
14,"[23, 23, 22, 50]","[1, 0, 0]",18,"[1, 0, 0, 0, 0, 0]",5.8782,1.2673,-0.014,0.02,0.0,True,0.0002,0.03
15,"[23, 23, 22, 15]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.04,1.6766,-0.492,0.0,0.0,True,0.0,0.0
16,"[23, 23, 22, 33]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.177,1.6492,-0.281,0.0,0.0,True,0.0,0.0
17,"[23, 23, 22, 51]","[1, 0, 0]",19,"[0, 1, 0, 0, 0, 0]",6.32,1.0,-0.05,13.05,0.005,True,1.7344,254.87
18,"[23, 23, 23, 13]","[1, 0, 0]",18,"[0, 1, 0, 0, 0, 0]",6.03,1.0,-0.087,0.0,0.0,True,0.0,0.0
19,"[23, 23, 23, 31]","[1, 0, 0]",18,"[0, 1, 0, 0, 0, 0]",6.03,1.0,-0.097,0.0,0.0,True,0.0,0.0
20,"[23, 23, 23, 49]","[1, 0, 0]",18,"[0, 1, 0, 0, 0, 0]",6.25,1.0,0.218,0.01,0.0,False,0.0,0.0
21,"[23, 23, 23, 14]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.72,1.1031,-0.307,0.0,0.0,True,0.0,0.0
22,"[23, 23, 23, 32]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.68,1.1761,-0.177,0.0,0.0,True,0.0001,0.02
23,"[23, 23, 23, 50]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.94,1.1599,0.032,0.02,0.0,False,0.0002,0.03
24,"[23, 23, 23, 15]","[1, 0, 0]",20,"[1, 0, 0, 0, 0, 0]",5.41,1.2662,-0.421,0.0,0.0,True,0.0,0.0
25,"[23, 23, 23, 33]","[1, 0, 0]",20,"[1, 0, 0, 0, 0, 0]",5.16,1.5659,-0.222,0.0,0.0,True,0.0,0.0
26,"[23, 23, 23, 51]","[1, 0, 0]",20,"[0, 1, 0, 0, 0, 0]",6.24,1.0,0.002,81.02,0.0,False,2.013,307.34
27,"[23, 23, 24, 13]","[1, 0, 0]",19,"[0, 1, 0, 0, 0, 0]",5.96,1.0,-0.052,91.93,0.0,True,0.9835,172.33
28,"[23, 23, 24, 31]","[1, 0, 0]",19,"[1, 0, 0, 0, 0, 0]",5.6588,1.1587,-0.051,0.0,0.0,True,0.0,0.0
29,"[23, 23, 24, 49]","[1, 0, 0]",19,"[0, 1, 0, 0, 0, 0]",6.21,1.0,0.306,38.99,0.0,False,1.4251,220.75
30,"[23, 23, 24, 14]","[1, 0, 0]",20,"[1, 0, 0, 0, 0, 0]",5.568,1.1595,-0.248,0.0,0.0,True,0.0001,0.02
31,"[23, 23, 24, 32]","[1, 0, 0]",20,"[1, 0, 0, 0, 0, 0]",5.5191,1.2431,-0.103,0.0,0.0,True,0.0,0.0
32,"[23, 23, 24, 50]","[1, 0, 0]",20,"[0, 1, 0, 0, 0, 0]",6.24,1.0,0.132,71.38,0.0,False,1.865,284.74
33,"[23, 23, 24, 15]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",5.0183,1.5324,-0.378,10.54,0.0,True,0.7036,134.78
34,"[23, 23, 24, 33]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",5.1692,1.503,-0.127,2.95,0.0,True,0.6871,122.78
35,"[23, 23, 24, 51]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",5.4071,1.4828,0.101,42.04,0.0,False,0.8851,140.07
36,"[23, 23, 25, 13]","[1, 0, 0]",20,"[0, 1, 0, 0, 0, 0]",5.96,1.0,-0.075,27.41,0.0,True,1.466,256.88
37,"[23, 23, 25, 31]","[1, 0, 0]",20,"[1, 0, 0, 0, 0, 0]",5.2009,1.4615,-0.078,22.35,0.0,True,0.6602,119.12
38,"[23, 23, 25, 49]","[1, 0, 0]",20,"[0, 1, 0, 0, 0, 0]",6.31,1.0,0.244,34.48,0.0,False,1.7014,251.21
39,"[23, 23, 25, 14]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",4.9331,1.652,-0.318,13.4,0.0,True,1.6566,309.86
40,"[23, 23, 25, 32]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",5.3965,1.3275,-0.157,20.92,0.0,True,1.1573,205.77
41,"[23, 23, 25, 50]","[1, 0, 0]",21,"[0, 1, 0, 0, 0, 0]",6.32,1.0,0.071,48.97,0.19,False,1.492,219.25
42,"[23, 23, 25, 15]","[1, 0, 0]",22,"[1, 0, 0, 0, 0, 0]",4.9367,1.5977,-0.47,42.86,0.0,True,1.815,350.26
43,"[23, 23, 25, 33]","[1, 0, 0]",22,"[1, 0, 0, 0, 0, 0]",5.0731,1.5509,-0.221,40.59,0.0,True,1.93,353.58
44,"[23, 23, 25, 51]","[1, 0, 0]",22,"[0, 1, 0, 0, 0, 0]",6.28,1.0,0.041,44.8,0.014,False,0.9135,136.82
45,"[23, 23, 26, 13]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",4.9285,1.6927,-0.147,12.82,0.0,True,1.5127,276.92
46,"[23, 23, 26, 31]","[1, 0, 0]",21,"[1, 0, 0, 0, 0, 0]",5.0109,1.6379,-0.129,28.24,0.0,True,1.6169,291.04
47,"[23, 23, 26, 49]","[1, 0, 0]",21,"[0, 1, 0, 0, 0, 0]",6.21,1.0,0.288,41.86,0.005,False,0.9985,154.67
48,"[23, 23, 26, 14]","[1, 0, 0]",22,"[0, 1, 0, 0, 0, 0]",5.86,1.0,-0.255,18.92,0.009,True,1.2041,221.97
49,"[23, 23, 26, 32]","[1, 0, 0]",22,"[0, 1, 0, 0, 0, 0]",5.96,1.0,-0.128,27.75,0.023,True,0.8354,146.38
50,"[23, 23, 26, 50]","[1, 0, 0]",22,"[1, 0, 0, 0, 0, 0]",5.2012,1.6185,0.014,31.81,0.0,False,2.016,328.39
51,"[23, 23, 26, 15]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.9363,1.5625,-0.494,44.8,0.0,True,1.4605,288.27
52,"[23, 23, 26, 33]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.9572,1.6374,-0.235,25.94,0.0,True,1.3832,257.25
53,"[23, 23, 26, 51]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",5.1592,1.6446,-0.027,22.82,0.0,True,1.4375,236.11
54,"[23, 23, 27, 13]","[1, 0, 0]",22,"[1, 0, 0, 0, 0, 0]",4.8925,1.7232,-0.221,0.14,0.0,True,0.0019,0.35
55,"[23, 23, 27, 31]","[1, 0, 0]",22,"[1, 0, 0, 0, 0, 0]",4.9264,1.6825,-0.184,0.0,0.0,True,0.0042,0.77
56,"[23, 23, 27, 49]","[1, 0, 0]",22,"[0, 1, 0, 0, 0, 0]",6.2,1.0,0.313,63.65,0.0,False,3.7179,578.69
57,"[23, 23, 27, 14]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.8494,1.6761,-0.42,0.0,0.0,True,0.0,0.0
58,"[23, 23, 27, 32]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.9455,1.6546,-0.264,0.29,0.0,True,0.0707,13.1
59,"[23, 23, 27, 50]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",5.137,1.674,-0.05,3.77,0.0,True,0.0912,14.91
60,"[23, 23, 27, 15]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",4.8591,1.6121,-0.553,0.02,0.0,True,0.0001,0.02
61,"[23, 23, 27, 33]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",4.9811,1.6124,-0.303,0.05,0.0,True,0.0007,0.13
62,"[23, 23, 27, 51]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",5.1663,1.6342,-0.109,0.02,0.0,True,0.0001,0.02
63,"[23, 23, 28, 13]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.9115,1.7241,-0.291,0.0,0.0,True,0.0,0.0
64,"[23, 23, 28, 31]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",4.952,1.6784,-0.25,0.0,0.0,True,0.0,0.0
65,"[23, 23, 28, 49]","[1, 0, 0]",23,"[1, 0, 0, 0, 0, 0]",5.1417,1.6933,0.052,0.0,0.0,False,0.0,0.0
66,"[23, 23, 28, 14]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",4.9295,1.6188,-0.461,0.0,0.0,True,0.0,0.0
67,"[23, 23, 28, 32]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",5.0215,1.6023,-0.323,0.0,0.0,True,0.0,0.0
68,"[23, 23, 28, 50]","[1, 0, 0]",24,"[1, 0, 0, 0, 0, 0]",5.1991,1.6346,-0.139,0.0,0.0,True,0.0,0.0
69,"[23, 23, 28, 15]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",4.9483,1.5557,-0.556,0.0,0.0,True,0.0,0.0
70,"[23, 23, 28, 33]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",5.0667,1.557,-0.335,0.01,0.0,True,0.0,0.0
71,"[23, 23, 28, 51]","[1, 0, 0]",25,"[1, 0, 0, 0, 0, 0]",5.239,1.5891,-0.167,0.0,0.0,True,0.0,0.0
